Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
TR_masterdata_registrationcenters_location_name,92870,1204,234,3239,5831,12915,20,60010,0.002%,29.79661,42.32,51.45
masterdata_registrationcenters_location_name,92870,1204,234,3239,5831,12915,20,60010,0.002%,29.79688,42.32,51.45
TR_masterdata_registrationcenters,92976,1230,238,3409,6027,13059,22,39457,0.000%,29.83557,869.66,51.16
masterdata_registrationcenters,92976,1230,238,3409,6027,13059,22,39457,0.000%,29.83556,869.66,51.16
TR_masterdata_registrationcenters_centerId,93143,1210,230,3313,5957,12997,20,42698,0.000%,29.89604,41.22,51.56
masterdata_registrationcenters_by_centerId,93143,1210,230,3313,5957,12997,20,42698,0.000%,29.89615,41.23,51.56
TOTAL,557978,1215,234,3333,5922,13001,20,60010,0.001%,178.95301,1905.34,308.16
